(theta,phi,r)
(54.0,108.78125,1.6957999999999998)
(54.0,108.90625,1.6603333333333332)
(54.0,109.15625,2.0875)
(54.0,153.265625,2.593)
(54.0,153.390625,2.4200666666666666)
(54.0,153.515625,2.2452666666666667)
(54.0,186.765625,3.137166666666667)
(54.0,186.890625,2.871)
(54.0,187.015625,2.275)
(54.0,187.140625,2.1783333333333337)
(54.0,187.265625,2.115666666666667)
(54.0,231.53125,6.151774193548388)
(54.0,231.65625,5.967)
(54.0,310.8125,2.771)
(54.0,310.9375,2.720935483870969)
(54.0,355.921875,3.0695)
(54.0,356.046875,2.72075)
(54.0,356.171875,2.397666666666667)
(54.0,356.296875,2.210714285714286)
(54.0,356.421875,2.0387142857142857)
(55.0,29.484375,1.7864285714285713)
(55.0,29.609375,1.7530000000000001)
(55.0,73.46875,1.3399999999999999)
(55.0,75.21875,1.439)
(55.0,75.34375,1.4378000000000002)
(55.0,75.46875,1.3763333333333332)
(55.0,75.59375,1.331)
(55.0,77.34375,1.3399999999999999)
(55.0,107.796875,2.254)
(55.0,107.921875,2.1563333333333334)
(55.0,108.046875,2.0612500000000002)
(55.0,108.296875,1.6785555555555556)
(55.0,108.421875,1.643)
(55.0,108.671875,2.197)
(55.0,153.0625,2.5709999999999997)
(55.0,153.1875,2.4256153846153845)
(55.0,153.3125,2.2438)
(55.0,153.4375,2.185)
(55.0,186.1875,3.221)
(55.0,186.3125,3.049666666666667)
(55.0,186.4375,2.763666666666667)
(55.0,186.5625,2.521)
(55.0,186.6875,2.2372000000000005)
(55.0,186.8125,2.126)
(55.0,231.28125,6.1594375)
(55.0,310.59375,2.722)
(55.0,355.859375,3.036)
(55.0,355.984375,2.657857142857143)
(55.0,356.109375,2.3937999999999997)
(55.0,356.234375,2.215285714285714)
(55.0,356.359375,2.0587142857142857)
(56.0,29.5625,1.7958571428571428)
(56.0,29.6875,1.7530000000000001)
(56.0,73.625,1.3763333333333332)
(56.0,75.5,1.4400000000000002)
(56.0,75.625,1.3515)
(56.0,77.5,1.3470000000000002)
(56.0,107.890625,2.193285714285714)
(56.0,108.015625,2.050555555555556)
(56.0,108.265625,1.6876666666666666)
(56.0,108.390625,1.645)
(56.0,108.640625,2.265)
(56.0,153.234375,2.5786000000000002)
(56.0,153.359375,2.4099090909090912)
(56.0,153.484375,2.2372666666666663)
(56.0,153.609375,2.175)
(56.0,186.046875,3.237)
(56.0,186.171875,3.056)
(56.0,186.296875,2.8345999999999996)
(56.0,186.421875,2.681)
(56.0,186.546875,2.1616666666666666)
(56.0,186.671875,2.291)
(56.0,231.453125,6.18125)
(56.0,310.75,2.7217500000000006)
(56.0,356.109375,3.031)
(56.0,356.234375,2.662333333333333)
(56.0,356.359375,2.415857142857143)
(56.0,356.484375,2.2066666666666666)
(56.0,356.609375,2.0547142857142857)
(57.0,30.0,1.8009999999999997)
(57.0,30.125,1.7713999999999999)
(57.0,30.5,1.737)
(57.0,73.828125,1.323)
(57.0,75.453125,1.4143333333333334)
(57.0,75.578125,1.4004285714285716)
(57.0,75.703125,1.335)
(57.0,77.578125,1.3276666666666668)
(57.0,108.421875,2.174)
(57.0,108.546875,2.0385)
(57.0,108.796875,1.6943333333333335)
(57.0,108.921875,1.6504999999999999)
(57.0,109.171875,2.267)
(57.0,153.375,2.5949999999999998)
(57.0,153.5,2.4055714285714287)
(57.0,153.625,2.229428571428571)
(57.0,186.765625,3.258)
(57.0,186.890625,3.1186666666666665)
(57.0,187.015625,2.673)
(57.0,187.140625,2.375)
(57.0,187.265625,2.1519230769230773)
(57.0,187.390625,2.163)
(57.0,231.640625,6.203187499999999)
(57.0,311.046875,2.723)
(57.0,356.078125,3.045666666666667)
(57.0,356.203125,2.6738571428571425)
(57.0,356.328125,2.386)
(57.0,356.453125,2.1783333333333332)
(57.0,356.578125,2.036)
(58.0,29.71875,1.8)
(58.0,29.84375,1.7769999999999997)
(58.0,73.703125,1.374)
(58.0,75.578125,1.3983333333333334)
(58.0,75.703125,1.3296666666666666)
(58.0,75.828125,1.313)
(58.0,77.578125,1.3563333333333334)
(58.0,108.078125,2.17225)
(58.0,108.203125,2.054)
(58.0,108.328125,1.733)
(58.0,108.453125,1.692)
(58.0,108.578125,1.671)
(58.0,108.828125,1.95)
(58.0,153.296875,2.579)
(58.0,153.421875,2.430125)
(58.0,153.546875,2.234384615384615)
(58.0,153.671875,2.175)
(58.0,186.328125,3.297)
(58.0,186.453125,3.045769230769231)
(58.0,186.578125,2.706)
(58.0,186.703125,2.428)
(58.0,186.828125,2.2436666666666665)
(58.0,186.953125,2.159)
(58.0,231.484375,6.240187499999998)
(58.0,310.828125,2.7231875000000003)
(58.0,356.0,3.177)
(58.0,356.125,3.068)
(58.0,356.25,2.7716666666666665)
(58.0,356.375,2.4257999999999997)
(58.0,356.5,2.1926)
(58.0,356.625,2.0526666666666666)
(59.0,29.6875,1.845)
(59.0,29.8125,1.805)
(59.0,29.9375,1.781)
(59.0,73.34375,1.373)
(59.0,75.09375,1.441)
(59.0,75.21875,1.4150000000000003)
(59.0,75.34375,1.3241999999999998)
(59.0,75.46875,1.323)
(59.0,77.21875,1.353)
(59.0,108.328125,2.1864)
(59.0,108.453125,2.0415)
(59.0,108.703125,1.6925)
(59.0,108.828125,1.6360000000000001)
(59.0,109.078125,2.279)
(59.0,153.015625,2.576)
(59.0,153.140625,2.423933333333333)
(59.0,153.265625,2.2412666666666667)
(59.0,186.59375,3.295)
(59.0,186.71875,3.0832)
(59.0,186.84375,2.7885)
(59.0,186.96875,2.442)
(59.0,187.09375,2.3045)
(59.0,187.21875,2.151)
(59.0,231.328125,6.2509375)
(59.0,310.78125,2.7226875000000006)
(59.0,355.53125,3.215)
(59.0,355.65625,3.0577999999999994)
(59.0,355.78125,2.71725)
(59.0,355.90625,2.4196666666666666)
(59.0,356.03125,2.1985)
(59.0,356.15625,2.066)
(60.0,29.015625,1.8407142857142857)
(60.0,29.140625,1.7886)
(60.0,29.515625,1.763)
(60.0,72.96875,1.3676666666666666)
(60.0,73.09375,1.311)
(60.0,74.84375,1.4126)
(60.0,74.96875,1.342)
(60.0,76.84375,1.3445)
(60.0,107.28125,2.156428571428571)
(60.0,107.40625,2.083285714285714)
(60.0,107.65625,1.6974)
(60.0,107.78125,1.6656666666666666)
(60.0,108.03125,2.087)
(60.0,152.625,2.564)
(60.0,152.75,2.4058235294117654)
(60.0,152.875,2.2303333333333333)
(60.0,153.0,2.167)
(60.0,185.453125,3.325)
(60.0,185.578125,3.104636363636364)
(60.0,185.703125,2.671666666666667)
(60.0,185.828125,2.3136666666666668)
(60.0,185.953125,2.1818333333333335)
(60.0,186.078125,2.181)
(60.0,230.828125,6.286)
(60.0,310.125,2.7237500000000003)
(60.0,355.40625,3.0715)
(60.0,355.53125,2.738)
(60.0,355.65625,2.4194999999999998)
(60.0,355.78125,2.183)
(60.0,355.90625,2.077666666666667)
(61.0,28.953125,1.891)
(61.0,29.078125,1.8268)
(61.0,29.203125,1.799)
(61.0,29.578125,1.773)
(61.0,73.140625,1.3821999999999999)
(61.0,74.765625,1.477)
(61.0,75.015625,1.4334)
(61.0,75.140625,1.313)
(61.0,75.265625,1.311)
(61.0,77.015625,1.3682)
(61.0,107.4375,2.1865)
(61.0,107.5625,2.052)
(61.0,107.8125,1.6826666666666668)
(61.0,107.9375,1.6840000000000002)
(61.0,108.1875,1.883)
(61.0,152.6875,2.567)
(61.0,152.8125,2.3856666666666664)
(61.0,152.9375,2.234818181818182)
(61.0,153.0625,2.181)
(61.0,185.609375,3.3505)
(61.0,185.734375,3.003888888888889)
(61.0,185.859375,2.8023333333333333)
(61.0,185.984375,2.433)
(61.0,186.109375,2.2798)
(61.0,186.234375,2.1636666666666664)
(61.0,230.921875,6.319812500000001)
(61.0,310.171875,2.7234374999999997)
(61.0,355.640625,3.101)
(61.0,355.765625,2.6685000000000003)
(61.0,355.890625,2.4038)
(61.0,356.015625,2.209)
(61.0,356.140625,2.103)
(62.0,29.5625,1.8395714285714284)
(62.0,29.6875,1.8049999999999997)
(62.0,73.21875,1.374)
(62.0,74.96875,1.464)
(62.0,75.09375,1.4055)
(62.0,75.21875,1.318)
(62.0,75.34375,1.319)
(62.0,77.09375,1.3780000000000001)
(62.0,108.03125,2.14475)
(62.0,108.15625,2.0706666666666664)
(62.0,108.40625,1.677)
(62.0,108.53125,1.651)
(62.0,108.78125,2.0583333333333336)
(62.0,152.890625,2.613)
(62.0,153.015625,2.410647058823529)
(62.0,153.140625,2.2251538461538463)
(62.0,186.359375,3.335666666666667)
(62.0,186.484375,3.144454545454545)
(62.0,186.609375,2.737)
(62.0,186.734375,2.404333333333333)
(62.0,186.859375,2.196076923076923)
(62.0,231.203125,6.3350625)
(62.0,310.640625,2.7248125)
(62.0,355.46875,3.217)
(62.0,355.59375,3.089571428571429)
(62.0,355.71875,2.7236666666666665)
(62.0,355.84375,2.4499999999999997)
(62.0,355.96875,2.249)
(62.0,356.09375,2.1186000000000003)
(63.0,29.484375,1.8441111111111108)
(63.0,29.609375,1.8136666666666665)
(63.0,73.40625,1.4100000000000001)
(63.0,75.03125,1.449)
(63.0,75.15625,1.515)
(63.0,75.28125,1.3676666666666666)
(63.0,75.40625,1.3296666666666666)
(63.0,75.53125,1.323)
(63.0,77.28125,1.392)
(63.0,107.875,2.154)
(63.0,108.0,2.0833333333333335)
(63.0,108.125,1.707)
(63.0,108.25,1.686)
(63.0,108.375,1.6658000000000002)
(63.0,108.625,1.9725)
(63.0,152.984375,2.5816666666666666)
(63.0,153.109375,2.422230769230769)
(63.0,153.234375,2.244625)
(63.0,186.203125,3.3216666666666668)
(63.0,186.328125,3.07125)
(63.0,186.453125,2.521)
(63.0,186.578125,2.4555)
(63.0,186.703125,2.2125384615384616)
(63.0,231.171875,6.3671875)
(63.0,310.5625,2.7249374999999993)
(63.0,355.671875,3.173)
(63.0,355.796875,3.0679999999999996)
(63.0,355.921875,2.7146)
(63.0,356.046875,2.4172222222222226)
(63.0,356.171875,2.194666666666667)
(63.0,356.296875,2.0909999999999997)
(64.0,29.375,1.897)
(64.0,29.5,1.8585)
(64.0,29.625,1.8136666666666665)
(64.0,73.46875,1.376)
(64.0,75.34375,1.4344999999999999)
(64.0,75.46875,1.3396666666666668)
(64.0,75.59375,1.3199999999999998)
(64.0,77.34375,1.3820000000000001)
(64.0,107.875,2.204636363636364)
(64.0,108.0,2.073571428571429)
(64.0,108.25,1.673)
(64.0,108.375,1.6725999999999999)
(64.0,108.625,1.641)
(64.0,153.0625,2.5976666666666666)
(64.0,153.1875,2.436692307692308)
(64.0,153.3125,2.1638)
(64.0,153.5625,1.881285714285714)
(64.0,153.6875,1.807)
(64.0,186.09375,3.3843333333333327)
(64.0,186.21875,2.9244285714285714)
(64.0,186.34375,2.8190000000000004)
(64.0,186.46875,2.521)
(64.0,186.59375,2.2753076923076927)
(64.0,231.21875,6.4165)
(64.0,310.5625,2.7248750000000004)
(64.0,355.84375,3.1402499999999995)
(64.0,355.96875,2.6985)
(64.0,356.09375,2.40125)
(64.0,356.21875,2.162714285714286)
(64.0,356.34375,2.149)
(65.0,29.84375,1.8719999999999999)
(65.0,29.96875,1.86275)
(65.0,30.09375,1.83)
(65.0,73.59375,1.375)
(65.0,75.46875,1.4620000000000002)
(65.0,75.59375,1.3366666666666667)
(65.0,77.46875,1.3719999999999999)
(65.0,108.34375,2.249)
(65.0,108.46875,2.166692307692308)
(65.0,108.59375,2.0765000000000002)
(65.0,108.84375,1.6682000000000001)
(65.0,108.96875,1.661)
(65.0,109.21875,1.8223333333333331)
(65.0,153.296875,2.626)
(65.0,153.421875,2.4614615384615384)
(65.0,153.546875,2.161)
(65.0,153.671875,1.876)
(65.0,153.796875,1.92425)
(65.0,153.921875,1.847)
(65.0,186.796875,3.3786666666666663)
(65.0,186.921875,3.0592222222222225)
(65.0,187.046875,2.642)
(65.0,187.171875,2.396)
(65.0,187.296875,2.2263846153846156)
(65.0,231.546875,6.465937500000001)
(65.0,310.9375,2.7251250000000007)
(65.0,355.984375,3.119666666666667)
(65.0,356.109375,2.7253333333333334)
(65.0,356.234375,2.44025)
(65.0,356.359375,2.2203333333333335)
(65.0,356.484375,2.1283333333333334)
(66.0,-3.875,2.5393333333333334)
(66.0,-3.75,15.241)
(66.0,-3.5,13.064)
(66.0,-3.375,9.747499999999999)
(66.0,-3.0,13.192)
(66.0,-2.875,5.9502500000000005)
(66.0,-2.625,2.955)
(66.0,-2.375,2.4263333333333335)
(66.0,-2.25,0.197)
(66.0,-2.125,10.168000000000001)
(66.0,-1.75,15.241)
(66.0,-1.0,16.336)
(66.0,-0.875,15.37)
(66.0,-0.75,15.924)
(66.0,0.0,15.177)
(66.0,73.15625,1.339)
(66.0,74.78125,1.455)
(66.0,74.90625,1.42)
(66.0,75.03125,1.4365999999999999)
(66.0,75.15625,1.3439999999999999)
(66.0,77.03125,1.355)
(66.0,134.265625,2.161)
(66.0,134.390625,2.0313076923076925)
(66.0,134.515625,1.8556666666666668)
(66.0,135.015625,2.0170000000000003)
(66.0,152.921875,2.5789999999999997)
(66.0,153.046875,2.478454545454546)
(66.0,153.171875,2.172)
(66.0,153.296875,1.9393999999999998)
(66.0,153.421875,1.9075)
(66.0,153.546875,1.809)
(66.0,231.3125,6.508875000000001)
(66.0,310.765625,2.7255625)
(66.0,355.34375,3.275)
(66.0,355.46875,3.1454999999999997)
(66.0,355.59375,2.7624285714285715)
(66.0,355.71875,2.434333333333333)
(66.0,355.84375,2.2159999999999997)
(66.0,355.96875,2.129)
(67.0,29.15625,1.9385000000000001)
(67.0,29.28125,1.8807142857142856)
(67.0,29.40625,1.849)
(67.0,29.78125,1.831)
(67.0,72.984375,1.357)
(67.0,74.734375,1.4643333333333333)
(67.0,74.859375,1.4120000000000001)
(67.0,74.984375,1.3199999999999998)
(67.0,76.859375,1.3483333333333334)
(67.0,107.578125,2.263)
(67.0,107.703125,2.1959999999999997)
(67.0,107.828125,2.0902000000000003)
(67.0,108.078125,1.6480000000000001)
(67.0,108.203125,1.655)
(67.0,108.453125,1.6189999999999998)
(67.0,152.625,2.5843333333333334)
(67.0,152.75,2.470777777777778)
(67.0,152.875,2.139666666666667)
(67.0,153.0,1.9822)
(67.0,153.125,1.8798888888888885)
(67.0,153.25,1.847)
(67.0,153.625,2.377)
(67.0,186.078125,3.4456666666666664)
(67.0,186.203125,2.9067499999999997)
(67.0,186.328125,2.915)
(67.0,186.453125,2.4981428571428568)
(67.0,186.578125,2.2414)
(67.0,230.90625,6.488483870967742)
(67.0,231.03125,5.859)
(67.0,310.328125,2.7259999999999995)
(67.0,355.25,3.278)
(67.0,355.375,3.0888)
(67.0,355.5,2.6474)
(67.0,355.625,2.4742500000000005)
(67.0,355.75,2.2306666666666666)
(67.0,355.875,2.169)
(68.0,73.203125,1.3783333333333332)
(68.0,75.078125,1.4182000000000001)
(68.0,75.203125,1.3479999999999999)
(68.0,75.328125,1.33)
(68.0,76.953125,1.409)
(68.0,77.078125,1.345)
(68.0,133.734375,2.133222222222222)
(68.0,133.859375,2.0123333333333333)
(68.0,133.984375,1.9250000000000003)
(68.0,134.484375,2.132)
(68.0,152.78125,2.6020000000000003)
(68.0,152.90625,2.4831999999999996)
(68.0,153.03125,2.173)
(68.0,153.15625,2.0366666666666666)
(68.0,153.28125,1.885)
(68.0,153.40625,1.835)
(68.0,153.78125,2.377)
(68.0,238.1875,6.502407407407407)
(68.0,238.3125,5.5994)
(68.0,257.1875,6.133333333333333)
(68.0,257.3125,5.048333333333333)
(68.0,257.4375,4.162799999999999)
(68.0,257.5625,3.6727142857142856)
(68.0,336.328125,3.223)
(68.0,336.453125,3.0340476190476187)
(68.0,336.578125,2.849857142857143)
(68.0,355.484375,3.263)
(68.0,355.609375,3.1567499999999997)
(68.0,355.734375,2.7580000000000005)
(68.0,355.859375,2.4694)
(68.0,355.984375,2.2322)
(68.0,356.109375,2.159)
(69.0,29.984375,1.9325)
(69.0,30.109375,1.9104999999999999)
(69.0,73.65625,1.366)
(69.0,75.40625,1.484)
(69.0,75.53125,1.4107142857142858)
(69.0,75.65625,1.3474)
(69.0,75.78125,1.333)
(69.0,77.53125,1.3820000000000001)
(69.0,108.5625,2.160285714285714)
(69.0,108.6875,2.1630000000000003)
(69.0,108.9375,1.655)
(69.0,109.0625,1.679)
(69.0,109.3125,2.0536666666666665)
(69.0,153.359375,2.593)
(69.0,153.484375,2.45025)
(69.0,153.609375,2.1849999999999996)
(69.0,153.734375,1.9438571428571427)
(69.0,153.859375,1.8792857142857144)
(69.0,153.984375,1.825)
(69.0,186.859375,3.507)
(69.0,186.984375,2.965666666666667)
(69.0,187.109375,2.547)
(69.0,187.234375,2.5370000000000004)
(69.0,187.359375,2.2744000000000004)
(69.0,231.625,6.617000000000001)
(69.0,231.75,5.541000000000001)
(69.0,231.875,4.569)
(69.0,311.078125,2.7264375000000007)
(69.0,355.875,3.275)
(69.0,356.0,3.1264545454545454)
(69.0,356.125,2.672333333333333)
(69.0,356.25,2.4290000000000003)
(69.0,356.375,2.247333333333333)
(70.0,29.390625,1.948142857142857)
(70.0,29.515625,1.937)
(70.0,30.015625,1.879)
(70.0,73.421875,1.379)
(70.0,74.921875,1.455)
(70.0,75.171875,1.5516666666666667)
(70.0,75.296875,1.389888888888889)
(70.0,75.421875,1.329)
(70.0,75.546875,1.361)
(70.0,77.296875,1.363)
(70.0,107.84375,2.1860769230769233)
(70.0,107.96875,2.139)
(70.0,108.21875,1.655)
(70.0,108.34375,1.6563333333333334)
(70.0,108.59375,1.9525)
(70.0,153.078125,2.5685000000000002)
(70.0,153.203125,2.4276666666666666)
(70.0,153.328125,2.121)
(70.0,153.453125,1.9985000000000002)
(70.0,153.578125,1.8803333333333334)
(70.0,153.703125,1.825)
(70.0,186.03125,3.446)
(70.0,186.15625,2.9475)
(70.0,186.28125,2.7996666666666665)
(70.0,186.40625,2.3525)
(70.0,186.53125,2.4035714285714285)
(70.0,231.3125,6.509518518518519)
(70.0,231.4375,6.212)
(70.0,231.5625,6.599)
(70.0,232.9375,4.411)
(70.0,310.625,2.7262500000000003)
(70.0,355.671875,3.2930000000000006)
(70.0,355.796875,3.1149999999999998)
(70.0,355.921875,2.730428571428571)
(70.0,356.046875,2.43325)
(70.0,356.171875,2.247)
(71.0,29.46875,1.97275)
(71.0,29.59375,1.9164999999999999)
(71.0,30.09375,1.891)
(71.0,74.75,1.465)
(71.0,75.0,1.504)
(71.0,75.125,1.43025)
(71.0,75.25,1.35325)
(71.0,107.890625,2.247)
(71.0,108.015625,2.18575)
(71.0,108.140625,2.127)
(71.0,108.390625,1.6574999999999998)
(71.0,108.515625,1.657)
(71.0,108.765625,1.936)
(71.0,152.9375,2.596)
(71.0,153.0625,2.481666666666667)
(71.0,153.1875,2.157)
(71.0,153.3125,1.9573999999999998)
(71.0,153.4375,1.84775)
(71.0,153.5625,1.801)
(71.0,153.9375,2.112)
(71.0,186.25,3.5222)
(71.0,186.375,2.9892)
(71.0,186.5,2.631666666666667)
(71.0,186.625,2.4372222222222226)
(71.0,186.75,2.2862)
(71.0,231.234375,6.58241935483871)
(71.0,231.359375,5.845)
(71.0,310.65625,2.7267500000000005)
(71.0,355.515625,3.3040000000000003)
(71.0,355.640625,3.1419090909090914)
(71.0,355.765625,2.7098571428571425)
(71.0,355.890625,2.407)
(71.0,356.015625,2.2503333333333337)
(72.0,29.5625,1.985)
(72.0,29.6875,1.915)
(72.0,30.1875,1.907)
(72.0,73.625,1.3835000000000002)
(72.0,73.75,1.381)
(72.0,75.375,1.464)
(72.0,75.5,1.507)
(72.0,75.625,1.339)
(72.0,77.5,1.373)
(72.0,108.0625,2.196142857142857)
(72.0,108.1875,2.1494999999999997)
(72.0,108.4375,1.6600000000000001)
(72.0,108.5625,1.6665)
(72.0,108.8125,1.621)
(72.0,153.203125,2.5916666666666663)
(72.0,153.328125,2.511285714285715)
(72.0,153.453125,2.1559999999999997)
(72.0,153.578125,1.999)
(72.0,153.703125,1.8966)
(72.0,154.203125,2.419)
(72.0,186.34375,3.5026)
(72.0,186.46875,2.9962500000000003)
(72.0,186.59375,2.8689999999999998)
(72.0,186.71875,2.3545000000000003)
(72.0,186.84375,2.444714285714286)
(72.0,231.40625,6.5418125)
(72.0,310.765625,2.7265000000000006)
(72.0,355.9375,3.3200000000000003)
(72.0,356.0625,3.2052222222222224)
(72.0,356.1875,2.78)
(72.0,356.3125,2.442555555555556)
(72.0,356.4375,2.2925000000000004)
(73.0,29.703125,2.01625)
(73.0,29.828125,1.951)
(73.0,30.328125,1.933)
(73.0,73.171875,1.397)
(73.0,74.671875,1.463)
(73.0,74.796875,1.501)
(73.0,74.921875,1.5179999999999998)
(73.0,75.046875,1.3679999999999999)
(73.0,75.171875,1.3544999999999998)
(73.0,77.046875,1.37)
(73.0,108.359375,2.1992222222222226)
(73.0,108.484375,2.1449999999999996)
(73.0,108.734375,1.675)
(73.0,108.859375,1.653)
(73.0,109.109375,1.639)
(73.0,152.90625,2.5900000000000003)
(73.0,153.03125,2.49)
(73.0,153.15625,2.1529999999999996)
(73.0,153.28125,2.043857142857143)
(73.0,153.40625,1.8983333333333334)
(73.0,153.90625,1.891)
(73.0,186.765625,3.5509999999999997)
(73.0,186.890625,3.048111111111111)
(73.0,187.015625,2.8203333333333327)
(73.0,187.140625,2.4159333333333333)
(73.0,231.234375,6.398062500000001)
(73.0,310.734375,2.7271875000000008)
(73.0,355.328125,3.3358000000000003)
(73.0,355.453125,3.1292222222222223)
(73.0,355.578125,2.711)
(73.0,355.703125,2.441)
(73.0,355.828125,2.3083333333333336)
(74.0,29.15625,2.0436666666666663)
(74.0,29.28125,2.012)
(74.0,29.40625,1.9603333333333335)
(74.0,73.171875,1.375)
(74.0,74.921875,1.4935)
(74.0,75.046875,1.383)
(74.0,75.171875,1.358)
(74.0,77.046875,1.355)
(74.0,107.796875,2.1890000000000005)
(74.0,107.921875,2.143)
(74.0,108.171875,1.6721999999999997)
(74.0,108.296875,1.657)
(74.0,108.546875,2.0643333333333334)
(74.0,152.828125,2.596)
(74.0,152.953125,2.51175)
(74.0,153.078125,2.1776666666666666)
(74.0,153.203125,2.0478)
(74.0,153.328125,1.9028333333333336)
(74.0,153.828125,1.961)
(74.0,186.0,3.5795)
(74.0,186.125,3.084090909090909)
(74.0,186.25,3.009)
(74.0,186.375,2.4028181818181817)
(74.0,186.5,2.3406)
(74.0,231.046875,6.291333333333332)
(74.0,231.171875,5.88)
(74.0,310.4375,2.726312500000001)
(74.0,355.359375,3.3495)
(74.0,355.484375,3.1439090909090903)
(74.0,355.609375,2.6967499999999998)
(74.0,355.734375,2.4235714285714285)
(74.0,355.859375,2.341)
(75.0,29.734375,2.0816666666666666)
(75.0,29.859375,2.03375)
(75.0,29.984375,1.981)
(75.0,30.484375,1.971)
(75.0,73.578125,1.383)
(75.0,75.078125,1.533)
(75.0,75.203125,1.58)
(75.0,75.453125,1.4493333333333334)
(75.0,77.453125,1.3602)
(75.0,108.34375,2.241)
(75.0,108.46875,2.1944444444444446)
(75.0,108.59375,2.129)
(75.0,108.84375,1.663)
(75.0,108.96875,1.678)
(75.0,109.21875,1.697)
(75.0,153.265625,2.552)
(75.0,153.390625,2.534333333333333)
(75.0,153.515625,2.1885000000000003)
(75.0,153.640625,1.9904285714285714)
(75.0,153.765625,1.901)
(75.0,154.265625,2.174)
(75.0,186.65625,3.711)
(75.0,186.78125,3.5665)
(75.0,186.90625,3.1322727272727273)
(75.0,187.03125,2.551)
(75.0,187.15625,2.413266666666667)
(75.0,231.5625,6.181900000000001)
(75.0,231.6875,5.717166666666667)
(75.0,310.96875,2.7277500000000003)
(75.0,355.84375,3.374333333333333)
(75.0,355.96875,3.1741666666666664)
(75.0,356.09375,2.721222222222222)
(75.0,356.21875,2.426428571428571)
(75.0,356.34375,2.317)
(76.0,30.015625,2.0666666666666673)
(76.0,30.640625,1.997)
(76.0,73.734375,1.351)
(76.0,75.484375,1.447)
(76.0,75.609375,1.4255454545454542)
(76.0,75.734375,1.354)
(76.0,77.609375,1.363)
(76.0,108.453125,2.247)
(76.0,108.578125,2.1871428571428573)
(76.0,108.703125,2.1523333333333334)
(76.0,108.953125,1.677)
(76.0,109.078125,1.6725)
(76.0,109.328125,1.959)
(76.0,153.46875,2.565666666666667)
(76.0,153.59375,2.5338571428571433)
(76.0,153.71875,2.1895)
(76.0,153.84375,1.961666666666667)
(76.0,153.96875,1.9149999999999998)
(76.0,154.46875,2.413)
(76.0,186.78125,3.74)
(76.0,186.90625,3.4194000000000004)
(76.0,187.03125,3.1055)
(76.0,187.15625,2.7880000000000003)
(76.0,187.28125,2.432333333333333)
(76.0,231.765625,6.111285714285714)
(76.0,231.890625,5.606444444444445)
(76.0,311.171875,2.7285625)
(76.0,355.96875,3.3345000000000002)
(76.0,356.09375,3.119)
(76.0,356.21875,2.7145)
(76.0,356.34375,2.452142857142857)
(76.0,356.46875,2.369)
(77.0,29.59375,2.1355)
(77.0,29.71875,2.07575)
(77.0,30.34375,2.019)
(77.0,73.515625,1.396)
(77.0,75.265625,1.468)
(77.0,75.390625,1.455)
(77.0,75.515625,1.366)
(77.0,77.265625,1.405)
(77.0,77.390625,1.371)
(77.0,108.25,2.2016153846153843)
(77.0,108.375,2.1534)
(77.0,108.625,1.6715)
(77.0,108.75,1.647)
(77.0,109.0,1.992)
(77.0,153.203125,2.5945)
(77.0,153.328125,2.4352857142857145)
(77.0,153.453125,2.1646)
(77.0,153.578125,2.0172)
(77.0,153.703125,1.921)
(77.0,186.578125,3.3143333333333334)
(77.0,186.703125,3.104555555555555)
(77.0,186.828125,2.666)
(77.0,186.953125,2.5091538461538456)
(77.0,231.5,6.052333333333333)
(77.0,231.625,5.528652173913043)
(77.0,310.890625,2.728375)
(77.0,355.703125,3.3644999999999996)
(77.0,355.828125,3.1545)
(77.0,355.953125,2.7039999999999997)
(77.0,356.078125,2.492)
(78.0,29.609375,2.1715)
(78.0,29.734375,2.0764)
(78.0,73.5625,1.3876666666666668)
(78.0,75.1875,1.455)
(78.0,75.3125,1.407)
(78.0,75.4375,1.4481428571428572)
(78.0,75.5625,1.351)
(78.0,77.4375,1.367)
(78.0,108.15625,2.247)
(78.0,108.28125,2.195533333333333)
(78.0,108.40625,2.167)
(78.0,108.65625,1.679)
(78.0,108.78125,1.6696666666666669)
(78.0,109.03125,1.8543333333333336)
(78.0,153.203125,2.6136666666666666)
(78.0,153.328125,2.509571428571429)
(78.0,153.453125,2.1702)
(78.0,153.578125,1.9689999999999999)
(78.0,153.703125,1.9250000000000003)
(78.0,154.203125,2.403)
(78.0,186.546875,3.221)
(78.0,186.671875,3.1308)
(78.0,186.796875,2.9890000000000003)
(78.0,186.921875,2.454857142857143)
(78.0,231.4375,5.957285714285715)
(78.0,231.5625,5.470759999999999)
(78.0,310.875,2.7279999999999998)
(78.0,355.78125,3.375)
(78.0,355.90625,3.1653333333333333)
(78.0,356.03125,2.682777777777778)
(78.0,356.15625,2.4766)
(79.0,30.328125,2.1587777777777775)
(79.0,30.453125,2.1016666666666666)
(79.0,75.28125,1.503)
(79.0,75.53125,1.419)
(79.0,75.65625,1.4442307692307694)
(79.0,75.78125,1.367)
(79.0,109.109375,2.1928750000000004)
(79.0,109.234375,2.128)
(79.0,109.484375,1.678)
(79.0,109.609375,1.6704999999999999)
(79.0,109.859375,2.26)
(79.0,153.609375,2.5953333333333335)
(79.0,153.734375,2.4297999999999997)
(79.0,153.859375,2.195)
(79.0,153.984375,2.021833333333334)
(79.0,154.109375,1.9342)
(79.0,187.4375,3.082333333333333)
(79.0,187.5625,3.1717692307692307)
(79.0,187.6875,2.6999999999999997)
(79.0,187.8125,2.5425)
(79.0,232.0,5.7675)
